timestamp_ms,roll,pitch,rate_roll,rate_pitch,rate_yaw,error_angle_roll,error_angle_pitch,error_rate_roll,error_rate_pitch,error_rate_yaw,motor1,motor2,motor3,motor4,altitude,velocity,lidar_raw,armed
52932,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0t
53533,-2.27,-2.07,-3.14,-1.96,4.93,2.27,2.07,7.69,6.10,-4.93,100,559,206,441,0.1,-6.5,0.1,1t
53908,-2.59,0.96,-0.27,-11.36,-3.25,2.59,-0.96,5.45,9.44,3.25,404,119,430,247,0.2,12.8,0.2,1t
54134,-1.58,1.69,5.89,8.72,17.08,1.58,-1.69,-2.72,-12.10,-17.08,213,468,100,532,0.0,3.7,0.0,1t
54509,-1.56,1.15,-21.64,-26.93,9.27,1.56,-1.15,24.75,24.62,-9.27,100,547,453,453,0.1,3.0,0.1,1t
54733,-3.88,-0.21,-5.22,-7.82,2.06,3.88,0.21,12.99,8.25,-2.06,238,551,100,318,0.1,16.2,0.1,1t
54958,-4.59,0.03,-3.20,-7.76,7.43,4.59,-0.03,12.39,7.70,-7.43,204,473,100,527,0.1,15.1,0.1,1t
55109,-4.36,0.02,-0.70,5.18,-13.62,4.36,-0.02,9.43,-5.21,13.62,694,100,306,153,0.1,15.2,0.1,1t
55334,-3.50,1.40,-2.78,-1.90,16.83,3.50,-1.40,9.77,-0.89,-16.83,100,458,124,542,-0.1,6.1,-0.1,1t
55551,-3.81,1.30,49.11,19.77,-12.34,3.81,-1.30,-41.48,-22.36,12.34,999,467,467,201,0.2,12.0,0.2,1t
55934,1.24,-0.63,-0.03,-3.00,-4.83,-1.24,0.63,-2.44,4.25,4.83,481,163,386,226,8.7,52.2,8.7,1t
56151,-1.05,-1.03,-33.42,-0.13,9.69,-14.95,1.03,3.51,2.19,-9.69,347,735,381,792,12.1,18.0,12.1,1t
56534,-3.04,-0.29,11.38,0.97,13.42,3.04,0.29,-5.31,-0.38,-13.42,189,592,181,578,22.7,49.1,22.7,1t
56752,-1.22,-0.26,8.58,1.82,-14.23,1.22,0.26,-6.14,-1.31,14.23,733,270,647,310,28.2,35.6,28.2,1t
